Player,Team,Matches,Runs,Wickets,Strike Rate,Economy Rate,Catches,Stumpings,Player Role
Player_1,Delhi Capitals,20,1922.5,97.34,118.65,10.84,10.03,4.84,Bowler
Player_2,Chennai Super Kings,40,1957.0,48.0,113.22,5.72,33.0,14.0,All-Rounder
Player_3,Rajasthan Royals,22,356.78,83.28,108.05,5.95,4.71,8.15,Wicket-Keeper
Player_4,Mumbai Indians,12,208.0,81.0,162.84,11.87,8.0,9.0,All-Rounder
Player_5,Royal Challengers Bangalore,48,146.0,25.0,112.3,9.25,16.0,9.0,Bowler
Player_6,Punjab Kings,8,542.0,3.0,133.7,9.99,15.0,9.0,Bowler
Player_7,Delhi Capitals,14,1013.0,12.0,108.41,7.03,10.0,14.0,All-Rounder
Player_8,Sunrisers Hyderabad,17,1063.0,92.0,162.18,7.23,40.0,11.0,Wicket-Keeper
Player_9,Royal Challengers Bangalore,2,378.0,61.0,100.74,10.07,19.0,7.0,Wicket-Keeper
Player_10,Mumbai Indians,34,1371.95,75.74,90.45,9.63,44.2,15.43,Batsman
Player_11,Mumbai Indians,41,470.0,84.0,87.74,10.05,14.0,9.0,Wicket-Keeper
Player_12,Delhi Capitals,9,1079.45,71.29,163.56,7.01,21.89,4.97,All-Rounder
Player_13,Sunrisers Hyderabad,1,1487.0,98.0,115.02,8.98,36.0,15.0,Bowler
Player_14,Royal Challengers Bangalore,17,1598.0,72.0,123.97,5.18,42.0,19.0,Batsman
Player_15,Punjab Kings,4,431.0,0.0,176.24,6.49,15.0,16.0,Batsman
Player_16,Mumbai Indians,15,1105.0,72.0,126.38,9.88,7.0,10.0,Bowler
Player_17,Royal Challengers Bangalore,35,800.0,28.0,156.13,8.43,38.0,15.0,Wicket-Keeper
Player_18,Mumbai Indians,18,845.0,63.0,117.59,9.6,25.0,19.0,Bowler
Player_19,Kolkata Knight Riders,26,995.0,19.0,109.31,6.91,34.0,11.0,Wicket-Keeper
Player_20,Delhi Capitals,48,314.0,31.0,151.37,8.63,35.0,12.0,Bowler
Player_21,Rajasthan Royals,40,413.0,43.0,80.72,9.52,32.0,0.0,All-Rounder
Player_22,Sunrisers Hyderabad,26,707.0,35.0,148.72,8.89,39.0,17.0,Wicket-Keeper
Player_23,Chennai Super Kings,35,1281.68,84.37,162.4,11.22,45.35,7.21,All-Rounder
Player_24,Royal Challengers Bangalore,38,779.0,50.0,128.98,6.55,40.0,0.0,Batsman
Player_25,Delhi Capitals,35,381.0,41.0,99.93,9.92,20.0,13.0,Bowler
Player_26,Chennai Super Kings,4,224.0,73.0,111.36,10.38,49.0,10.0,Batsman
Player_27,Chennai Super Kings,26,1417.0,72.0,149.77,5.38,42.0,3.0,Batsman
Player_28,Mumbai Indians,42,424.0,89.0,170.72,8.88,24.0,3.0,Batsman
Player_29,Rajasthan Royals,33,1006.0,17.0,168.03,10.0,34.0,15.0,Batsman
